Symbol,Company Name,Sector,Industry
ADST,"AdStar, Inc.",Communication Services,Interactive Media & Services
ADT,ADT Inc,Industrials,Commercial Services & Supplies
ATGE,Adtalem Global Education Inc,Consumer Discretionary,Diversified Consumer Services
ADTN,"ADTRAN, Inc.",Information Technology,Communications Equipment
ADRO,Aduro BioTech Inc,Health Care,Biotechnology
ADVOF,ADVA OPTICAL NETWORKING SE SHS,,
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Specialty Retail
ABMT,Advanced Biomedical Technologies Inc,Health Care,Health Care Equipment & Supplies
ADSW,Advanced Disposal Services Inc,Industrials,Commercial Services & Supplies
WMS,Advanced Drainage Systems Inc,Industrials,Building Products
ADES,Advanced Emissions Solutions Inc,Materials,Chemicals
AEIS,"Advanced Energy Industries, Inc.",Information Technology,Semiconductors & Semiconductor Equipment
AENG,Advanced Engine Technology,,
AVIFY,Advanced Info Service PCL (ADR),Communication Services,Wireless Telecommunication Services
AMD,"Advanced Micro Devices, Inc.",Information Technology,Semiconductors & Semiconductor Equipment
AOXY,"Advanced Oxygen Technologies, Inc.",Real Estate,Real Estate Management & Development
APTCF,ADVANCED PROTEOME THERAPETCS,Health Care,Biotechnology
AVGG,Advanced Technologies Group Ltd,,
AVOI,Advanced Voice Recognition Systems Inc,Information Technology,Software
ASIX,AdvanSix Inc,Materials,Chemicals
AAVVF,ADVANTAGE OIL & GAS LTD,Energy,"Oil, Gas & Consumable Fuels"
ADVC,Advant-E Corporation,Information Technology,Software
ADGO,Advantego Corporation,Information Technology,Software
ATEYY,Advantest Corp (ADR),Information Technology,Semiconductors & Semiconductor Equipment
ADTTF,Advantest Corp (Parent),,
ATXMF,ADVANTEX MARKETING INTL INC,Communication Services,Media
CHCR,Advanzeon Solutions Inc,Health Care,Health Care Providers & Services
ADXS,"Advaxis, Inc.",Health Care,Biotechnology
ADVV,Adveco Group Inc,,
AVDWF,ADVENT AWI HLDGS INC,Consumer Discretionary,Specialty Retail
AVK,Advent Convertible and Income Fund,,
ADVM,Adverum Biotechnologies Inc,Health Care,Biotechnology
ADYX,Adynxx Inc,Health Care,Biotechnology
ACM,Aecom,Industrials,Construction & Engineering
AEGN,Aegion Corp,Industrials,Construction & Engineering
AGLE,Aeglea Bio Therapeutics Inc,Health Care,Biotechnology
AEG,AEGON N.V. (ADR),Financials,Insurance
AEHR,Aehr Test Systems,Information Technology,Semiconductors & Semiconductor Equipment
AMTX,Aemetis Inc,Energy,"Oil, Gas & Consumable Fuels"
AOLS,"Aeolus Pharmaceuticals, Inc.",Health Care,Pharmaceuticals
AONNF,AEON CO LTD SHS,,
AEOJF,AEON FINL SVC CO LTD SHS,,
AGHC,Aeon Global Health Corp,Health Care,Health Care Providers & Services
AMLLF,AEON MALL COMPANY LTD CHIBA SHS,,
IDEA,Aeon Ventures Inc,Financials,Capital Markets
AERN,"AER Energy Resources, Inc",,
AER,AerCap Holdings N.V.,Industrials,Trading Companies & Distributors
AERI,Aerie Pharmaceuticals Inc,Health Care,Pharmaceuticals
AKOM,Aerkomm Inc,Communication Services,Wireless Telecommunication Services
ACY,AeroCentury Corp.,Industrials,Trading Companies & Distributors
AFML,Aerofoam Metals Inc.,,
AERO,"AeroGrow International, Inc.",Consumer Discretionary,Household Durables
AJRD,Aerojet Rocketdyne Holdings Inc,Industrials,Aerospace & Defense
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense
ARPO,Aerpio Pharmaceuticals Inc,Health Care,Pharmaceuticals
AES,AES Corp,Utilities,Independent Power & Renewable Electricity Producers
AIH,Aesthetic Medical International HldngsGL,Health Care,Health Care Providers & Services
AEZS,AEterna Zentaris Inc. (USA),Health Care,Biotechnology
AEMD,"Aethlon Medical, Inc.",Health Care,Health Care Equipment & Supplies
AGRUF,AF GRUPPEN ASA SHS A,,
AFAP,AFA Protective Systems Inc,,
AMG,"Affiliated Managers Group, Inc.",Financials,Capital Markets
AFFL,Affiliated Resources Corp,,
AFMD,Affimed NV,Health Care,Biotechnology
ABVG,Affinity Beverage Group Inc,,
AFYG,Affinity Gold Corp.,,
ARIZF,AFFINITY METALS CORP,Materials,Metals & Mining
AFFY,"Affymax, Inc.",,
AFL,AFLAC Incorporated,Financials,Insurance
AROFF,AFRICA OPPORTUNITY FUND LTD SHS,,
AGGFF,AFRICAN GOLD GROUP INC,Materials,Metals & Mining
AFMCF,AFRICAN METALS CORP,Materials,Metals & Mining
AFRVF,AFRICAN PHOENIX INVESTMENT LTD SHS,,
AFTM,Aftermaster Inc,Consumer Discretionary,Leisure Products
AFYA,Afya Ltd,Consumer Discretionary,Diversified Consumer Services
MITT,AG Mortgage Investment Trust Inc,Financials,Mortgage Real Estate Investment Trusts (REITs)
AATP,Agape ATP Corp,Health Care,Health Care Providers & Services
AGBAU,AGBA Acquisition Ltd,,
AGCO,AGCO Corporation,Industrials,Machinery
UAVS,Ageagle Aerial Systems Inc,Industrials,Machinery
AGESF,AGEAS ACT NOM,,
AIFS,Agent Information Software Inc,,
AGTX,Agentix Corp,,
AGEN,Agenus Inc,Health Care,Biotechnology
AGE,AgeX Therapeutics Inc,Health Care,Biotechnology
AGFMF,AGF MANAGEMENT LTD  -CL B,Financials,Capital Markets
AFGVF,AGFA GEVAERT NV SHS,,
AGRX,Agile Therapeutics Inc,Health Care,Pharmaceuticals
A,Agilent Technologies Inc,Health Care,Life Sciences Tools & Services
AGYS,"Agilysys, Inc.",Information Technology,Software
AGIO,Agios Pharmaceuticals Inc,Health Care,Biotechnology
AGMH,AGM Group Holdings Inc,Financials,Capital Markets
AGNC,AGNC Investment Corp,Financials,Mortgage Real Estate Investment Trusts (REITs)
AEM,Agnico Eagle Mines Ltd (USA),Materials,Metals & Mining
ADC,Agree Realty Corporation,Real Estate,Equity Real Estate Investment Trusts (REITs)
AGRIP,Agribank FCB,,
ACGBF,AGRICULTURAL BANK OF CHINA SHS -H -,,
EURI,Agrieuro Corp,,
AGSO,"AgriSolar Solutions, Inc.",Industrials,Machinery
AGRS,"Agristar, Inc.",,
FBER,Agritech Worldwide Inc,,
AGTAF,AGRITERRA LTD ORD,,
ACMB,Agro Capital Management Corp,,
AGFS,AgroFresh Solutions Inc,Materials,Chemicals
AIDA,"AIDA Pharmaceuticals, Inc.",Health Care,Pharmaceuticals
AIFM,Aifarm Ltd,Industrials,Machinery
AIKI,Aikido Pharma Inc,Industrials,Professional Services
ALRN,Aileron Therapeutics Inc,Health Care,Biotechnology
